ano,campeonato brasileiro,copa do brasil
1989,Vasco da Gama,Grêmio
1990,Corinthians,Flamengo
1991,Criciúma,Corinthians
1992,Flamengo,Internacional
1993,Palmeiras,Cruzeiro
1994,Palmeiras,Grêmio
1995,Botafogo,Corinthians
1996,Grêmio,Cruzeiro
1997,Vasco da Gama,Grêmio
1998,Corinthians,Palmeiras
1999,Corinthians,Juventude
2000,Vasco da Gama,Cruzeiro
2001,Atlético Paranaense,Grêmio
2002,Santos,Corinthians
2003,Cruzeiro,Cruzeiro
2004,Santos,Santo André
2005,Corinthians,Paulista
2006,São Paulo,Flamengo
2007,São Paulo,Fluminense
2008,São Paulo,Sport
2009,Flamengo,Corinthians
2010,Fluminense,Santos
2011,Corinthians,Vasco da Gama
2012,Fluminense,Palmeiras
2013,Cruzeiro,Flamengo
2014,Cruzeiro,Atlético Mineiro
2015,Corinthians,Palmeiras
2016,Palmeiras,Grêmio
2017,Corinthians,Cruzeiro
2018,Palmeiras,Cruzeiro
