header_timestamp,min,max,sum,avg,median,mode,stddev,spread,number_of_packages
1558396740000,22.1,22.1,22.1,22.1,22.1,22.1,,0.0,1
1558396680000,22.1,22.1,22.1,22.1,22.1,22.1,,0.0,1
1558396620000,22.2,22.2,22.2,22.2,22.2,22.2,,0.0,1
1558396560000,22.3,22.3,22.3,22.3,22.3,22.3,,0.0,1
1558396500000,22.5,22.5,22.5,22.5,22.5,22.5,,0.0,1
1558396440000,22.5,22.5,22.5,22.5,22.5,22.5,,0.0,1
1558396380000,22.5,22.5,22.5,22.5,22.5,22.5,,0.0,1
1558396320000,22.2,22.2,22.2,22.2,22.2,22.2,,0.0,1
1558396260000,22.1,22.1,22.1,22.1,22.1,22.1,,0.0,1
1558396200000,22.1,22.1,22.1,22.1,22.1,22.1,,0.0,1
1558396140000,22.3,22.3,22.3,22.3,22.3,22.3,,0.0,1
1558396080000,22.6,22.6,22.6,22.6,22.6,22.6,,0.0,1
1558396020000,22.6,22.6,22.6,22.6,22.6,22.6,,0.0,1
1558395960000,22.5,22.5,22.5,22.5,22.5,22.5,,0.0,1
1558395900000,22.2,22.2,22.2,22.2,22.2,22.2,,0.0,1
1558395840000,22.2,22.2,22.2,22.2,22.2,22.2,,0.0,1
1558395780000,22.1,22.1,22.1,22.1,22.1,22.1,,0.0,1
1558395720000,22.2,22.2,22.2,22.2,22.2,22.2,,0.0,1
1558395660000,22.5,22.5,22.5,22.5,22.5,22.5,,0.0,1
1558395600000,22.4,22.4,22.4,22.4,22.4,22.4,,0.0,1
1558395540000,22.3,22.3,22.3,22.3,22.3,22.3,,0.0,1
1558395480000,22.2,22.2,44.4,22.2,22.2,22.2,0.0,0.0,2
1558395420000,22.2,22.2,22.2,22.2,22.2,22.2,,0.0,1
1558395360000,22.3,22.3,22.3,22.3,22.3,22.3,,0.0,1
1558395300000,22.6,22.6,22.6,22.6,22.6,22.6,,0.0,1
1558395240000,22.6,22.6,22.6,22.6,22.6,22.6,,0.0,1
1558395180000,22.6,22.6,22.6,22.6,22.6,22.6,,0.0,1
1558395120000,22.5,22.5,22.5,22.5,22.5,22.5,,0.0,1
1558395060000,22.3,22.3,22.3,22.3,22.3,22.3,,0.0,1
1558395000000,22.3,22.3,22.3,22.3,22.3,22.3,,0.0,1
1558394940000,22.5,22.5,22.5,22.5,22.5,22.5,,0.0,1
1558394880000,22.6,22.6,22.6,22.6,22.6,22.6,,0.0,1
1558394820000,22.7,22.7,22.7,22.7,22.7,22.7,,0.0,1
1558394760000,22.7,22.7,22.7,22.7,22.7,22.7,,0.0,1
1558394700000,22.6,22.6,22.6,22.6,22.6,22.6,,0.0,1
1558394640000,22.3,22.3,22.3,22.3,22.3,22.3,,0.0,1
1558394580000,22.2,22.2,22.2,22.2,22.2,22.2,,0.0,1
1558394520000,22.3,22.3,22.3,22.3,22.3,22.3,,0.0,1
1558394460000,22.5,22.5,22.5,22.5,22.5,22.5,,0.0,1
1558394400000,22.6,22.6,22.6,22.6,22.6,22.6,,0.0,1
1558394340000,22.6,22.6,22.6,22.6,22.6,22.6,,0.0,1
1558394280000,22.5,22.5,22.5,22.5,22.5,22.5,,0.0,1
1558394220000,22.2,22.2,22.2,22.2,22.2,22.2,,0.0,1
1558394160000,22.1,22.1,22.1,22.1,22.1,22.1,,0.0,1
1558394100000,22.1,22.1,22.1,22.1,22.1,22.1,,0.0,1
1558394040000,22.3,22.3,22.3,22.3,22.3,22.3,,0.0,1
1558393980000,22.6,22.6,22.6,22.6,22.6,22.6,,0.0,1
1558393920000,22.6,22.6,22.6,22.6,22.6,22.6,,0.0,1
